asn,ip,timestamp,malware,src_port,dst_ip,dst_port,dst_host,proto
36969,41.87.16.84,24/12/2025 14:50,android.vo1d2,45726,188.40.187.142,55590,,tcp
37440,137.115.2.93,24/12/2025 9:45,m0yv,7912,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.8.58,24/12/2025 14:12,m0yv,2143,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.3.176,24/12/2025 12:29,m0yv,532,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.178.68,24/12/2025 8:21,m0yv,1082,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.9.102,24/12/2025 21:22,m0yv,687,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.3.28,24/12/2025 16:11,m0yv,7009,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.11.115,24/12/2025 13:26,m0yv,3096,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.8.203,24/12/2025 13:47,m0yv,1459,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.5.224,24/12/2025 18:20,m0yv,22649,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.3.172,24/12/2025 11:55,m0yv,6944,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.3.161,24/12/2025 20:54,m0yv,3021,85.214.228.140,80,dlynankz.biz,tcp
37187,197.211.119.48,24/12/2025 6:39,android.vo1d2,42302,188.40.187.142,55590,,tcp
37187,197.211.119.109,24/12/2025 23:17,android.vo1d2,46307,188.40.187.142,55590,,tcp
37440,137.115.3.44,24/12/2025 18:58,m0yv,2644,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.6.165,24/12/2025 18:25,m0yv,2270,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.5.170,24/12/2025 8:08,m0yv,254,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.4.19,24/12/2025 23:17,android.vo1d2,4673,188.40.187.142,55590,,tcp
37440,105.234.162.5,24/12/2025 12:52,m0yv,2676,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.9.204,24/12/2025 15:46,m0yv,271,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.177.66,24/12/2025 23:34,m0yv,3889,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.6.169,24/12/2025 9:13,m0yv,2480,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.180.243,24/12/2025 13:25,m0yv,5032,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.2.209,24/12/2025 11:22,m0yv,33263,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.178.48,24/12/2025 10:25,m0yv,7751,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.9.85,24/12/2025 9:44,android.vo1d2,3396,188.40.187.142,55590,,tcp
37440,137.115.9.208,24/12/2025 20:16,m0yv,2048,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.6.116,24/12/2025 3:25,m0yv,2758,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.160.15,24/12/2025 7:41,m0yv,3284,85.214.228.140,80,dlynankz.biz,tcp
37294,102.70.92.13,24/12/2025 17:30,android.vo1d2,37620,188.40.187.135,55500,,tcp
37294,102.70.93.160,24/12/2025 19:22,android.vo1d2,47147,188.40.187.142,55590,,tcp
37713,41.78.219.23,24/12/2025 15:47,m0yv,49790,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.8.133,24/12/2025 22:43,android.vo1d2,2551,188.40.187.142,55590,,tcp
37440,137.115.11.234,24/12/2025 14:30,m0yv,502,85.214.228.140,80,dlynankz.biz,tcp
37294,102.70.94.82,24/12/2025 12:46,m0yv,19714,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.7.179,24/12/2025 14:38,m0yv,821,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.177.148,24/12/2025 18:13,m0yv,6331,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.8.74,24/12/2025 16:52,m0yv,4021,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.179.219,24/12/2025 14:04,m0yv,7565,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.9.166,24/12/2025 17:27,m0yv,2363,85.214.228.140,80,dlynankz.biz,tcp
37294,102.70.113.166,24/12/2025 19:20,android.vo1d2,39780,188.40.187.135,55500,,tcp
37187,197.211.119.122,24/12/2025 15:13,android.vo1d2,56865,188.40.187.142,55590,,tcp
37440,105.234.177.86,24/12/2025 13:48,m0yv,2530,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.0.26,24/12/2025 13:23,m0yv,3266,85.214.228.140,80,dlynankz.biz,tcp
37294,102.70.93.210,24/12/2025 8:55,m0yv,61807,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.5.104,24/12/2025 9:02,m0yv,23785,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.5.108,24/12/2025 17:03,m0yv,2610,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.4.200,24/12/2025 19:01,m0yv,8124,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.150.123,24/12/2025 18:44,andromeda,61532,184.105.192.2,80,differentia.ru,tcp

